#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JABFPA010060924.1    -         insects              -          cm        1      281      275       94      -    no    1 0.31   4.2   30.5   2.4e-05 !   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_61188_length_558_cov_1.712297, whole genome shotgun sequence
JABFPA010001140.1    -         insects              -          cm        1      281      118       65      -    no    1 0.20   0.7   16.4      0.76 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_1142_length_2179_cov_2.237817, whole genome shotgun sequence
JABFPA010077784.1    -         insects              -          cm        1      281      259      212      -    no    1 0.33   0.0   16.1      0.94 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_78318_length_505_cov_1.314815, whole genome shotgun sequence
JABFPA010017322.1    -         insects              -          cm        1      281      583      535      -    no    1 0.51   0.0   16.1      0.96 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_17359_length_874_cov_2.303882, whole genome shotgun sequence
JABFPA010001775.1    -         insects              -          cm        1      281      532      487      -    no    1 0.24   0.2   15.9       1.1 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_1777_length_1828_cov_2.731492, whole genome shotgun sequence
JABFPA010093208.1    -         insects              -          cm        1      281      402      452      +    no    1 0.20   3.1   15.9       1.1 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_94088_length_466_cov_2.132743, whole genome shotgun sequence
JABFPA010067212.1    -         insects              -          cm        1      281      387      434      +    no    1 0.19   0.5   15.8       1.2 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_67559_length_536_cov_2.325183, whole genome shotgun sequence
JABFPA010076340.1    -         insects              -          cm        1      281      326      231      -    no    1 0.30   0.7   15.7       1.3 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_76835_length_509_cov_1.269634, whole genome shotgun sequence
JABFPA010069480.1    -         insects              -          cm        1      281      338      381      +    no    1 0.30   0.0   15.5       1.5 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_69864_length_529_cov_1.487562, whole genome shotgun sequence
JABFPA010111503.1    -         insects              -          cm      102      193      149      264      +    no    1 0.35   0.0   15.4       1.6 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_112787_length_429_cov_1.695364, whole genome shotgun sequence
JABFPA010087217.1    -         insects              -          cm        1      281      164      245      +    no    1 0.30   0.0   15.4       1.6 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_87945_length_480_cov_2.419263, whole genome shotgun sequence
JABFPA010028704.1    -         insects              -          cm        1      281      321      385      +    no    1 0.29   0.1   15.3       1.7 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_28786_length_738_cov_2.234043, whole genome shotgun sequence
JABFPA010038422.1    -         insects              -          cm      245      281      666      633      -    5'    2 0.29   0.0   15.2       1.9 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_38539_length_666_cov_1.844156, whole genome shotgun sequence
JABFPA010057727.1    -         insects              -          cm       56      281        1       92      +    5'    2 0.33   0.0   15.1         2 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_57952_length_571_cov_0.409910, whole genome shotgun sequence
JABFPA010095441.1    -         insects              -          cm        1      281      282      229      -    no    1 0.31   0.0   15.0       2.1 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_96368_length_461_cov_2.035928, whole genome shotgun sequence
JABFPA010058464.1    -         insects              -          cm        1      281      397      475      +    no    1 0.22   6.4   15.0       2.2 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_58696_length_567_cov_2.372727, whole genome shotgun sequence
JABFPA010071333.1    -         insects              -          cm       92      197      309      217      -    no    1 0.27   0.8   14.9       2.3 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_71750_length_523_cov_2.623737, whole genome shotgun sequence
JABFPA010036547.1    -         insects              -          cm        1      281      310      379      +    no    1 0.40   0.0   14.6       2.8 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_36656_length_678_cov_2.515426, whole genome shotgun sequence
JABFPA010018721.1    -         insects              -          cm        1      281      243      294      +    no    1 0.25   4.4   14.4       3.3 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_18764_length_852_cov_2.015172, whole genome shotgun sequence
JABFPA010100640.1    -         insects              -          cm        1      281      158      250      +    no    1 0.41   0.0   14.4       3.4 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_101689_length_450_cov_1.755418, whole genome shotgun sequence
JABFPA010001860.1    -         insects              -          cm        1      281     1204     1309      +    no    1 0.32   0.0   14.4       3.5 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_1862_length_1793_cov_2.337732, whole genome shotgun sequence
JABFPA010001474.1    -         insects              -          cm        1      281      276      329      +    no    1 0.39   0.0   14.2       3.8 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_1476_length_1959_cov_1.591380, whole genome shotgun sequence
JABFPA010099050.1    -         insects              -          cm        1      281      340      405      +    no    1 0.32   0.0   14.2       3.9 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_100070_length_453_cov_2.855828, whole genome shotgun sequence
JABFPA010088011.1    -         insects              -          cm        1      281      114       50      -    no    1 0.25   0.2   14.2       3.9 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_88760_length_478_cov_88.592593, whole genome shotgun sequence
JABFPA010007324.1    -         insects              -          cm       75      281        1      109      +    5'    2 0.34   0.0   14.1       4.1 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_7342_length_1149_cov_1.765166, whole genome shotgun sequence
JABFPA010042017.1    -         insects              -          cm        1      281      374      439      +    no    1 0.30   0.0   14.1       4.2 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_42143_length_644_cov_1.812379, whole genome shotgun sequence
JABFPA010093208.1    -         insects              -          cm        1      281      266      313      +    no    1 0.17   4.8   14.1       4.2 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_94088_length_466_cov_2.132743, whole genome shotgun sequence
JABFPA010082640.1    -         insects              -          cm      148      281        1      149      +    5'    2 0.36   0.1   14.0       4.4 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_83277_length_492_cov_1.736986, whole genome shotgun sequence
JABFPA010101104.1    -         insects              -          cm       62      281      448      319      -    5'    2 0.33   1.4   13.9         5 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_102164_length_448_cov_1.925466, whole genome shotgun sequence
JABFPA010050008.1    -         insects              -          cm        1      281      144      222      +    no    1 0.39   0.0   13.8       5.1 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_50183_length_604_cov_1.090147, whole genome shotgun sequence
JABFPA010000141.1    -         insects              -          cm       66      223      426      269      -    no    1 0.32   1.0   13.8       5.2 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_141_length_4921_cov_5.374479, whole genome shotgun sequence
JABFPA010066549.1    -         insects              -          cm        1      281      181      114      -    no    1 0.31   0.0   13.5       6.4 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_66883_length_539_cov_0.975728, whole genome shotgun sequence
JABFPA010026078.1    -         insects              -          cm        1      281      437      553      +    no    1 0.27   5.3   13.3       7.4 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_26149_length_764_cov_1.025118, whole genome shotgun sequence
JABFPA010091724.1    -         insects              -          cm        1      281       18      205      +    no    1 0.36   0.1   13.3       7.4 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_92567_length_470_cov_0.839650, whole genome shotgun sequence
JABFPA010095718.1    -         insects              -          cm        1      281      298      358      +    no    1 0.25   3.7   13.3       7.6 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_96651_length_461_cov_0.970060, whole genome shotgun sequence
JABFPA010110069.1    -         insects              -          cm      167      281       13      130      +    5'    2 0.34   0.0   13.2       8.4 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_111321_length_432_cov_1.091803, whole genome shotgun sequence
JABFPA010015133.1    -         insects              -          cm        1      281      735      807      +    no    1 0.27   0.2   13.1       8.6 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_15164_length_913_cov_0.826972, whole genome shotgun sequence
JABFPA010032262.1    -         insects              -          cm        1      281      376      489      +    no    1 0.28   1.4   13.1       8.6 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_32357_length_708_cov_2.693632, whole genome shotgun sequence
JABFPA010013242.1    -         insects              -          cm        1      281      190       47      -    no    1 0.29   3.5   13.1       8.8 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_13272_length_953_cov_1.478208, whole genome shotgun sequence
JABFPA010046719.1    -         insects              -          cm        1      281      303      238      -    no    1 0.39   0.0   13.0       9.2 ?   Calotelea sp. ZL-2020 isolate N192_OSUC 510629 NODE_46874_length_619_cov_1.739837, whole genome shotgun sequence
#
# Program:         cmsearch
# Version:         1.1.2 (July 2016)
# Pipeline mode:   SEARCH
# Query file:      models_calibrated/cov_model_bombus
# Target file:     database/GCA_022817605.1_ASM2281760v1_genomic/GCA_022817605.1_ASM2281760v1_genomic.fna
# Option settings: cmsearch -o results/raw_infernal/bombus/result_bombus_vs_GCA_022817605.1_ASM2281760v1_genomic -A results/raw_infernal/bombus/result_bombus_vs_GCA_022817605.1_ASM2281760v1_genomic-alignment --tblout results/raw_infernal/bombus/result_bombus_vs_GCA_022817605.1_ASM2281760v1_genomic.csv --notextw models_calibrated/cov_model_bombus database/GCA_022817605.1_ASM2281760v1_genomic/GCA_022817605.1_ASM2281760v1_genomic.fna 
# Current dir:     /home/kilar/Desktop/GERONIMO/GERONIMO
# Date:            Wed Nov 30 17:45:44 2022
# [ok]
